Tournament,Date,Game Time,Blue Team,Red Team,Blue Kills,Blue Turrets,Blue Dragons,Blue Barons,Red Kills,Red Turrets,Red Dragons,Red Barons,Blue Wards Placed,Blue Wards Destroyed,Red Wards Placed,Red Wards Destroyed,First Dragon Team,First Dragon Time,First Rift Herald Team,First Rift Herald Time,Blue Bans 1,Blue Bans 2,Blue Bans 3,Blue Bans 4,Blue Bans 5,Red Bans 1,Red Bans 2,Red Bans 3,Red Bans 4,Red Bans 5,Blue Top,Blue Jungle,Blue Mid,Blue Bot,Blue Support,Red Top,Red Jungle,Red Mid,Red Bot,Red Support,Blue Top KDA,Blue Top CS,Blue Jungle KDA,Blue Jungle CS,Blue Mid KDA,Blue Mid CS,Blue Bot KDA,Blue Bot CS,Blue Support KDA,Blue Support CS,Red Top KDA,Red Top CS,Red Jungle KDA,Red Jungle CS,Red Mid KDA,Red Mid CS,Red Bot KDA,Red Bot CS,Red Support KDA,Red Support CS
Worlds Main Event 2023,11/12/2023,24.85,T1,JD Gaming,23,7,2,0,8,0,1,0,71,31,98,34,Red,6.133333333333334,Red,8.9,Rakan, Neeko, Jarvan IV, Nautilus, Renata Glasc,Ashe, Poppy, Kalista, Senna, Caitlyn,Aatrox, Rell, Orianna, Jhin, Bard,Rumble, Vi, Akali, Xayah, Alistar, 8/3/3,183, 2/2/16,130, 6/0/13,203, 4/1/10,225, 3/2/15,16, 3/7/5,113, 2/6/4,125, 2/3/3,213, 1/2/6,220, 0/5/4,35
Worlds Main Event 2023,11/12/2023,37.983333333333334,JD Gaming,T1,20,11,3,2,7,3,2,0,152,88,167,97,Red,9.65,Blue,9.583333333333334,Rumble, Poppy, Akali, Gwen, Rell,Rakan, Neeko, Jarvan IV, Nautilus, Blitzcrank,KSante, Vi, Orianna, Kalista, Senna,Aatrox, Maokai, Azir, Caitlyn, Ashe, 5/0/6,321, 4/4/8,243, 1/1/15,335, 5/1/10,386, 5/1/15,53, 2/3/0,366, 1/7/6,147, 0/3/3,359, 2/3/5,381, 2/4/5,49
Worlds Main Event 2023,11/12/2023,30.716666666666665,T1,JD Gaming,18,6,4,1,10,4,1,1,138,51,99,62,Blue,6.416666666666667,Blue,9,Rakan, Neeko, Jarvan IV, Akali, KSante,Rumble, Orianna, Poppy, Pyke, Bard,Aatrox, Rell, Azir, Kalista, Renata Glasc,Renekton, Wukong, Taliyah, Varus, Ashe, 6/4/4,204, 2/3/11,147, 3/1/9,283, 4/1/5,254, 3/1/13,26, 1/4/5,255, 2/4/5,204, 2/2/4,250, 4/3/1,281, 1/5/5,22
Worlds Main Event 2023,11/12/2023,31.416666666666668,JD Gaming,T1,6,3,0,0,16,11,4,2,134,41,104,59,Red,10.933333333333334,Blue,8.65,Rumble, Poppy, Rell, Ashe, Renata Glasc,Rakan, Neeko, Kalista, Kaisa, Xayah,Aatrox, Belveth, Orianna, Zeri, Lulu,Yone, Jarvan IV, Azir, Varus, Bard, 0/3/2,221, 2/6/2,184, 0/4/4,250, 4/2/1,318, 0/1/5,16, 1/0/4,300, 1/1/14,187, 8/2/3,297, 6/0/4,302, 0/3/13,26
Worlds Main Event 2023,11/11/2023,29.366666666666667,Weibo Gaming,Bilibili Gaming,18,10,3,1,3,2,1,0,99,30,92,41,Red,8.866666666666667,Blue,9,Jax, Jarvan IV, Rakan, Nautilus, Blitzcrank,Orianna, Kalista, Caitlyn, Renata Glasc, Wukong,Rumble, Belveth, Neeko, Aphelios, Milio,Aatrox, Vi, Syndra, Xayah, Rell, 8/1/3,239, 3/0/6,215, 4/0/7,247, 3/0/6,310, 0/2/15,33, 0/6/0,234, 0/2/3,157, 2/3/0,251, 0/2/2,310, 1/5/1,33
Worlds Main Event 2023,11/11/2023,35.083333333333336,Bilibili Gaming,Weibo Gaming,24,10,5,1,12,2,0,0,99,56,152,53,Blue,10.383333333333333,Blue,8.433333333333334,Rumble, Belveth, Renata Glasc, Jayce, KSante,Jarvan IV, Neeko, Orianna, Rell, Sejuani,Jax, Vi, Sylas, Varus, Ashe,Aatrox, Maokai, Azir, Caitlyn, Lux, 5/6/3,251, 4/2/10,238, 5/1/9,292, 6/2/9,339, 4/1/15,30, 3/5/5,250, 2/5/4,126, 5/6/4,335, 2/3/2,320, 0/5/7,40
Worlds Main Event 2023,11/11/2023,28.15,Weibo Gaming,Bilibili Gaming,13,10,2,1,4,1,3,0,107,46,92,45,Red,5.466666666666667,Blue,9.716666666666667,Jax, Jarvan IV, Rakan, Sylas, Ahri,Rumble, Orianna, Neeko, Taliyah, Azir,Graves, Poppy, Syndra, Varus, Ashe,Aatrox, Vi, Akali, Kalista, Caitlyn, 6/0/2,249, 1/2/8,149, 3/0/6,245, 1/1/5,191, 2/1/9,25, 0/3/1,193, 1/4/1,142, 3/3/1,194, 0/2/2,259, 0/1/2,48
Worlds Main Event 2023,11/11/2023,28.55,Bilibili Gaming,Weibo Gaming,19,9,3,1,3,2,1,0,88,54,134,49,Red,6.35,Blue,8.85,Rumble, Poppy, Belveth, Caitlyn, Kalista,Neeko, Jarvan IV, Vi, Tahm Kench, Rakan,Jax, Sejuani, Orianna, Aphelios, Bard,Quinn, Rell, Syndra, Ashe, Heimerdinger, 3/0/6,247, 2/0/10,148, 7/1/7,243, 7/1/5,285, 0/1/14,52, 0/5/1,228, 0/4/0,138, 3/4/0,242, 0/2/2,274, 0/4/1,16
Worlds Main Event 2023,11/11/2023,35.166666666666664,Weibo Gaming,Bilibili Gaming,20,8,4,1,15,4,1,1,121,51,112,51,Blue,8.733333333333333,Red,9.133333333333333,Jax, Jarvan IV, Sylas, Rakan, Ashe,Rumble, Orianna, Neeko, Gnar, Aatrox,Ornn, Maokai, Azir, Kalista, Renata Glasc,KSante, Sejuani, Jayce, Caitlyn, Lux, 0/6/10,228, 1/3/12,164, 6/2/7,344, 12/2/5,293, 1/2/15,36, 3/5/5,235, 0/4/8,168, 4/3/4,300, 5/3/5,302, 3/5/3,41
Worlds Main Event 2023,11/5/2023,26.616666666666667,LNG Esports,T1,2,2,0,0,13,8,4,1,86,37,83,41,Red,6.816666666666666,Red,8.916666666666666,Caitlyn, Renata Glasc, Rumble, Aphelios, Rakan,Xayah, Neeko, Jax, Nautilus, Alistar,Gwen, Jarvan IV, Azir, Kaisa, Blitzcrank,Aatrox, Rell, Orianna, Nilah, Senna, 2/3/0,224, 0/4/2,161, 0/2/0,221, 0/2/0,270, 0/2/0,23, 5/1/4,249, 0/0/12,137, 3/0/8,279, 4/0/6,270, 1/1/9,17
